,Id,Slug,Url,HasTravis,HasCircle,NumPrs,NumComments
1891,61270075,palantir/tslint-react,https://api.github.com/repos/palantir/tslint-react,False,True,82.0,186.0
2002,20814143,cloudops/cookbook_cloudstack,https://api.github.com/repos/cloudops/cookbook_cloudstack,False,True,15.0,14.0
2021,4800832,eldarion/formly,https://api.github.com/repos/eldarion/formly,False,True,21.0,45.0
2049,54733889,conda-forge/basemap-feedstock,https://api.github.com/repos/conda-forge/basemap-feedstock,False,True,31.0,43.0
2050,62009921,MichaelAquilina/zsh-autoswitch-virtualenv,https://api.github.com/repos/MichaelAquilina/zsh-autoswitch-virtualenv,False,True,62.0,41.0
2051,40646209,AnalogJ/capsulecd,https://api.github.com/repos/AnalogJ/capsulecd,False,True,54.0,53.0
2135,21741891,spring-cloud/spring-cloud-netflix,https://api.github.com/repos/spring-cloud/spring-cloud-netflix,False,True,735.0,2645.0
2142,71367747,uktrade/directory-tests,https://api.github.com/repos/uktrade/directory-tests,False,True,268.0,25.0
2176,35848261,segmentio/eslint-config,https://api.github.com/repos/segmentio/eslint-config,False,True,38.0,57.0
2232,24560710,one-love/frontend,https://api.github.com/repos/one-love/frontend,False,True,113.0,
2238,9890374,tknzk/tknzk.com,https://api.github.com/repos/tknzk/tknzk.com,False,True,26.0,
2245,4857671,closeio/flask-common,https://api.github.com/repos/closeio/flask-common,False,True,42.0,59.0
2320,31680585,imsweb/staging-client-java,https://api.github.com/repos/imsweb/staging-client-java,False,True,36.0,5.0
2330,37007945,RakanNimer/react-google-charts,https://api.github.com/repos/RakanNimer/react-google-charts,False,True,74.0,136.0
2370,54054474,conda-forge/cmake-feedstock,https://api.github.com/repos/conda-forge/cmake-feedstock,False,True,67.0,244.0
2373,64022090,conda-forge/anypytools-feedstock,https://api.github.com/repos/conda-forge/anypytools-feedstock,False,True,36.0,58.0
2452,39338061,mskog/broad,https://api.github.com/repos/mskog/broad,False,True,13.0,
2498,65643342,solidnerd/docker-bookstack,https://api.github.com/repos/solidnerd/docker-bookstack,False,True,84.0,61.0
2525,59865423,conda-forge/m2crypto-feedstock,https://api.github.com/repos/conda-forge/m2crypto-feedstock,False,True,33.0,87.0
2529,70293839,conda-forge/llvmdev-feedstock,https://api.github.com/repos/conda-forge/llvmdev-feedstock,False,True,50.0,319.0
2542,16585552,C-FO/square,https://api.github.com/repos/C-FO/square,False,True,22.0,28.0
2560,67603280,conda-forge/iris-grib-feedstock,https://api.github.com/repos/conda-forge/iris-grib-feedstock,False,True,15.0,34.0
2568,55761488,conda-forge/nbconvert-feedstock,https://api.github.com/repos/conda-forge/nbconvert-feedstock,False,True,24.0,84.0
2584,20926289,Rise-Vision/auto-scroll,https://api.github.com/repos/Rise-Vision/auto-scroll,False,True,21.0,47.0
2698,20811348,spring-cloud/spring-cloud-config,https://api.github.com/repos/spring-cloud/spring-cloud-config,False,True,296.0,1063.0
2729,36278357,opendatateam/croquemort,https://api.github.com/repos/opendatateam/croquemort,False,True,117.0,105.0
2736,66571349,cBioPortal/cbioportal-frontend,https://api.github.com/repos/cBioPortal/cbioportal-frontend,False,True,2254.0,2211.0
2790,53574487,wireapp/generic-message-proto,https://api.github.com/repos/wireapp/generic-message-proto,False,True,43.0,42.0
2828,52604504,qubyte/vertebrate-event-emitter,https://api.github.com/repos/qubyte/vertebrate-event-emitter,False,True,14.0,3.0
2832,18336344,vvakame/docker-review,https://api.github.com/repos/vvakame/docker-review,False,True,24.0,48.0
2835,54845016,kaitai-io/kaitai_struct_formats,https://api.github.com/repos/kaitai-io/kaitai_struct_formats,False,True,132.0,327.0
2854,49576281,Evaneos/vitaminjs,https://api.github.com/repos/Evaneos/vitaminjs,False,True,346.0,134.0
2878,70798938,ministryofjustice/laa-fee-calculator,https://api.github.com/repos/ministryofjustice/laa-fee-calculator,False,True,69.0,17.0
2891,20755034,ipfs/website,https://api.github.com/repos/ipfs/website,False,True,190.0,459.0
2902,75043419,StackStorm-Exchange/stackstorm-pagerduty,https://api.github.com/repos/StackStorm-Exchange/stackstorm-pagerduty,False,True,16.0,16.0
2941,76171100,krzysztofzablocki/Sourcery,https://api.github.com/repos/krzysztofzablocki/Sourcery,False,True,350.0,849.0
2966,12196957,freedombox/Plinth,https://api.github.com/repos/freedombox/Plinth,False,True,544.0,1574.0
2975,72313181,conda-forge/apispec-feedstock,https://api.github.com/repos/conda-forge/apispec-feedstock,False,True,34.0,71.0
2984,67087965,edickie/ciftify,https://api.github.com/repos/edickie/ciftify,False,True,47.0,4.0
3039,61242975,conda-forge/cc-plugin-ncei-feedstock,https://api.github.com/repos/conda-forge/cc-plugin-ncei-feedstock,False,True,13.0,30.0
3071,51017056,linuxmint/xviewer,https://api.github.com/repos/linuxmint/xviewer,False,True,13.0,6.0
3097,31872609,int128/gradleupdate,https://api.github.com/repos/int128/gradleupdate,False,True,21.0,
3136,50043490,Financial-Times/content-rw-neo4j,https://api.github.com/repos/Financial-Times/content-rw-neo4j,False,True,36.0,48.0
3159,5592931,ros-perception/image_pipeline,https://api.github.com/repos/ros-perception/image_pipeline,False,True,180.0,587.0
3186,16594532,openaddresses/openaddresses,https://api.github.com/repos/openaddresses/openaddresses,False,True,2665.0,4862.0
3208,7990116,puyoai/puyoai,https://api.github.com/repos/puyoai/puyoai,False,True,99.0,173.0
3210,51247716,thoughtbot/community,https://api.github.com/repos/thoughtbot/community,False,True,30.0,34.0
3229,29718629,feedforce/nginx-headers-more-rpm,https://api.github.com/repos/feedforce/nginx-headers-more-rpm,False,True,17.0,34.0
3400,3669866,ebraminio/DroidPersianCalendar,https://api.github.com/repos/ebraminio/DroidPersianCalendar,False,True,215.0,108.0
3453,29540972,TIGRLab/datman,https://api.github.com/repos/TIGRLab/datman,False,True,151.0,79.0
3472,417389,lostisland/faraday,https://api.github.com/repos/lostisland/faraday,False,True,538.0,1762.0
3479,72197229,cezerin/cezerin,https://api.github.com/repos/cezerin/cezerin,False,True,64.0,80.0
3489,52951405,Financial-Times/notifications-push,https://api.github.com/repos/Financial-Times/notifications-push,False,True,65.0,112.0
3502,61036910,conda-forge/python-eccodes-feedstock,https://api.github.com/repos/conda-forge/python-eccodes-feedstock,False,True,37.0,106.0
3503,20275054,Rise-Vision/widget-google-spreadsheet,https://api.github.com/repos/Rise-Vision/widget-google-spreadsheet,False,True,200.0,532.0
3578,61127280,Financial-Times/o-toggle,https://api.github.com/repos/Financial-Times/o-toggle,False,True,15.0,1.0
3624,22818930,AtomLinter/linter-clojure,https://api.github.com/repos/AtomLinter/linter-clojure,False,True,40.0,36.0
3634,42828146,cdaringe/pouchy,https://api.github.com/repos/cdaringe/pouchy,False,True,163.0,11.0
3670,27828339,aurelia/templating-resources,https://api.github.com/repos/aurelia/templating-resources,False,True,140.0,494.0
3695,64188788,pingcap/docs-cn,https://api.github.com/repos/pingcap/docs-cn,False,True,1117.0,1501.0
3697,27426164,omise/omise-php,https://api.github.com/repos/omise/omise-php,False,True,86.0,158.0
3744,71503222,mavenlink/changestream,https://api.github.com/repos/mavenlink/changestream,False,True,60.0,29.0
